"id_estudiante";"plan_estudios";"sede";"codigo_postal";"localidad";"provincia";"pais";"sexo";"cohorte"
83160;309;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83161;1802;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83162;508;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83163;308;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83166;1001;"SEDE LUJAN";1849;"CLAYPOLE";"BUENOS AIRES";"ARGENTINA";"F";2003
83168;207;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83169;2504;"SEDE LUJAN";1718;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83170;207;"SEDE LUJAN";2764;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83171;309;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83172;1710;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83173;804;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83174;508;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83175;309;"SEDE LUJAN";2752;"C. SARMIENTO";"BUENOS AIRES";"ARGENTINA";"F";2003
83176;508;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83177;508;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83179;107;"SEDE LUJAN";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83180;2704;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83182;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83184;107;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"M";2003
83185;403;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83186;403;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83187;308;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83188;404;"SEDE LUJAN";1741;"G. LAS HERAS";"BUENOS AIRES";"ARGENTINA";"F";2003
83189;308;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83190;509;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83192;804;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83194;2704;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83196;404;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83198;1710;"SEDE LUJAN";1901;"RINGUELET";"BUENOS AIRES";"ARGENTINA";"F";2003
83199;2504;"SEDE LUJAN";6706;"JAUREGUI";"BUENOS AIRES";"ARGENTINA";"M";2003
83200;804;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83201;1710;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83202;1710;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83203;2704;"SEDE LUJAN";1665;"JOSE C. PAZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83204;207;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83206;2602;"SEDE LUJAN";1669;"DEL VISO";"BUENOS AIRES";"ARGENTINA";"F";2003
83207;207;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83208;207;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83209;207;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83210;509;"SEDE LUJAN";6703;"PDA. ROBLES";"BUENOS AIRES";"ARGENTINA";"F";2003
83211;308;"SEDE LUJAN";6601;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83213;804;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83214;107;"SEDE LUJAN";2804;"CAMPANA";"BUENOS AIRES";"ARGENTINA";"F";2003
83215;308;"SEDE LUJAN";6605;"NAVARRO";"BUENOS AIRES";"ARGENTINA";"M";2003
83216;1710;"SEDE LUJAN";6605;"NAVARRO";"BUENOS AIRES";"ARGENTINA";"F";2003
83217;2602;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83218;508;"SEDE LUJAN";1714;"ITUZAINGO";"BUENOS AIRES";"ARGENTINA";"F";2003
83219;603;"SEDE LUJAN";1824;"LANUS";"BUENOS AIRES";"ARGENTINA";"M";2003
83220;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83221;1710;"SEDE LUJAN";1754;"SAN JUSTO";"BUENOS AIRES";"ARGENTINA";"M";2003
83222;508;"SEDE LUJAN";1631;"VILLA ROSA";"BUENOS AIRES";"ARGENTINA";"F";2003
83226;508;"SEDE LUJAN";6720;"S.A.DE GILES";"BUENOS AIRES";"ARGENTINA";"F";2003
83228;2704;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83229;107;"SEDE LUJAN";1716;"LIBERTAD";"BUENOS AIRES";"ARGENTINA";"F";2003
83230;603;"SEDE LUJAN";1754;"SAN JUSTO";"BUENOS AIRES";"ARGENTINA";"M";2003
83231;603;"SEDE LUJAN";1888;"F. VARELA";"BUENOS AIRES";"ARGENTINA";"F";2003
83232;603;"SEDE LUJAN";1804;"EZEIZA";"BUENOS AIRES";"ARGENTINA";"M";2003
83233;403;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83234;2704;"SEDE LUJAN";1723;"M. ACOSTA";"BUENOS AIRES";"ARGENTINA";"M";2003
83235;804;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83236;804;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83239;804;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83241;1710;"SEDE LUJAN";1727;"MARCOS PAZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83242;307;"SEDE LUJAN";1722;"S.A.DE PADUA";"BUENOS AIRES";"ARGENTINA";"M";2003
83243;309;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83244;2704;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83245;308;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83246;308;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"F";2003
83247;1602;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83248;1802;"SEDE LUJAN";1714;"ITUZAINGO";"BUENOS AIRES";"ARGENTINA";"M";2003
83249;508;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83251;107;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83252;1711;"D.A. MORENO";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83253;804;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83254;508;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83256;603;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83258;5401;"SEDE LUJAN";6605;"NAVARRO";"BUENOS AIRES";"ARGENTINA";"F";2003
83260;2704;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83261;509;"SEDE LUJAN";1723;"M. ACOSTA";"BUENOS AIRES";"ARGENTINA";"F";2003
